		Li	Ow	Li	Hw	Li	C00	Li	C01	Li	O02	Li	C03	Li	O04	Li	O05	Li	C06	Li	H07	Li	CBT	Li	F1	Li	SBT	Li	NBT	Li	OBT
38	2.25	0.014594	0.96366	2.43208	0.0795527	8.40E-06	5.00E-08	0	0	0.759049	0.0218418	0.000138583	9.00E-07	1.37167	0.479328	0.767087	0.0217774	0	0	0.00525776	6.03E-05	0	0	0.0178283	0.00212	0	0	0.1436	0.003184	6.98994	2.28498
39	2.31	0.00871053	0.963755	4.87031	0.185396	3.98E-06	7.50E-08	0	0	0.663385	0.0260044	0.00161758	1.11E-05	0.612009	0.483168	0.682561	0.0260603	0	0	0.0093907	0.000119225	0	0	0.0269248	0.00376827	0	0	0.147158	0.00468545	4.11128	2.45277
40	2.37	0.0066992	0.963831	8.19671	0.372903	2.65E-05	2.50E-07	0	0	0.572683	0.0297869	0.0112718	8.55E-05	0.290712	0.485088	0.599905	0.0300227	7.57E-06	5.00E-08	0.0157078	0.000222975	0	0	0.03801	0.0062176	0	0	0.135619	0.00614198	2.4394	2.55756
41	2.43	0.0059026	0.963902	11.6267	0.652511	0.000169219	1.43E-06	1.44E-05	1.00E-07	0.489829	0.0331881	0.0468486	0.0004108	0.145831	0.486101	0.53042	0.0337057	5.40E-05	4.25E-07	0.0239716	0.000389425	0	0	0.0512312	0.00968815	1.11E-06	2.50E-08	0.116093	0.00745273	1.50851	2.62569
42	2.49	0.00670471	0.963987	13.8284	1.00169	0.000504063	5.10E-06	1.71E-05	2.25E-07	0.424332	0.0362818	0.13621	0.00140387	0.0805712	0.486688	0.475499	0.0371725	0.00017145	1.68E-06	0.0360628	0.00065235	1.05E-06	2.50E-08	0.0658385	0.0143712	1.27E-05	3.25E-07	0.102036	0.00866235	0.982649	2.67228
43	2.55	0.00855095	0.9641	13.5304	1.36001	0.00102664	1.30E-05	9.15E-05	9.25E-07	0.371282	0.0391208	0.288566	0.00361035	0.0475293	0.487052	0.429277	0.0404549	0.000653908	6.68E-06	0.0522701	0.00105202	4.02E-06	1.25E-07	0.0832431	0.020581	0.000185996	4.95E-06	0.0940556	0.00983175	0.677714	2.70599
44	2.61	0.0114821	0.96426	10.5198	1.65186	0.00220963	3.07E-05	0.000312095	3.43E-06	0.327278	0.0417424	0.481681	0.0074688	0.0312064	0.487302	0.390774	0.0435852	0.00187257	2.17E-05	0.0720253	0.00162897	1.73E-05	5.75E-07	0.101998	0.0285522	0.00138771	4.11E-05	0.090142	0.0110059	0.493116	2.73168
45	2.67	0.0153668	0.964483	6.235	1.83289	0.00444656	6.79E-05	0.00109151	1.26E-05	0.294439	0.0442107	0.665299	0.0130459	0.0220121	0.487486	0.363198	0.0466298	0.00440779	5.86E-05	0.0964196	0.00243725	4.77E-05	1.88E-06	0.121681	0.0385038	0.00704658	0.0002332	0.0917193	0.0122561	0.378059	2.75229
46	2.73	0.0207328	0.964797	2.76934	1.91695	0.00848655	0.0001423	0.00330334	4.15E-05	0.267288	0.0465532	0.831953	0.0203371	0.0172241	0.487637	0.340826	0.0496168	0.0106003	0.000151525	0.122748	0.003513	0.00010877	4.98E-06	0.14243	0.0506817	0.021998	0.00086015	0.0959198	0.0136229	0.302394	2.76953
47	2.79	0.0279543	0.96524	0.987556	1.94825	0.0144237	0.000274325	0.00847235	0.000119075	0.244917	0.048795	1.00118	0.0295012	0.0144265	0.487769	0.324508	0.0525871	0.0217025	0.000350175	0.15209	0.00490512	0.000221723	1.16E-05	0.165387	0.0654509	0.0469079	0.00225645	0.10212	0.0151428	0.254158	2.78466
