	Li	O_TFSI	Li	Ow	Li	O_OTF
7.95	0.894964302	21.28614739	0.998480405	14.11555504	0.867321818	5.662702114
8.05	0.901254923	22.02551695	0.982014246	14.65261583	0.884804844	5.844158116
8.15	0.914066998	22.79415423	0.985646179	15.20514614	0.902362452	6.033854167
8.25	0.904829801	23.5737912	0.993588133	15.77588619	0.909184628	6.229691387
8.35	0.923815062	24.38914801	1.000110172	16.36438899	0.923668693	6.43349658
8.45	0.921363904	25.22195662	1.01009409	16.97312267	0.930738792	6.643812189
8.55	0.946043156	26.09750078	1.014600892	17.59911381	0.93311789	6.859685945
8.65	0.950115242	26.99751244	1.024056694	18.24576337	0.969447101	7.089241294
8.75	0.959449281	27.92747201	1.01428318	18.90113884	0.977783694	7.326162158
8.85	0.969663835	28.88901197	1.019306717	19.57491838	0.989647714	7.571478545
8.95	0.975545213	29.87826493	1.027268699	20.26941465	0.996413434	7.824082711
9.05	0.992108838	30.90696906	1.034143411	20.98427783	0.990381002	8.080826337
9.15	0.98959515	31.95578747	1.029809829	21.71194807	1.013718487	8.349444185
9.25	0.998667425	33.03756608	1.041885277	22.46433846	1.024965081	8.627021144
9.35	0.998203092	34.1423352	1.031001865	23.22512438	1.021256139	8.909573228
9.45	1.010361445	35.28465096	1.023891136	23.99685168	1.019181979	9.19764459
9.55	1.004038067	36.44401042	1.021496351	24.78315454	1.033236676	9.495918843
9.65	1.01668352	37.64272388	1.015725263	25.58146766	1.020864558	9.796797264
9.75	1.011318131	38.85989972	1.015306926	26.39608598	1.018768056	10.103331
9.85	1.025374477	40.11932525	1.014599987	27.22695118	1.01647291	10.41546175
9.95	1.01114652	41.38675762	0.992116899	28.05597015	1.005495915	10.73052705
10.05	1.020444779	42.69162002	0.998030091	28.90675529	0.998023857	11.0495569
